,,,,,,,,,,,,,,,,,,,,,,,,,,Row Labels,Sum of Responder,Sum of ResponderSales,Sum of responders,Sum of sales,check 1,check2,check 3,check 4
BROD_BROD_2221,24,305372,,,BROD_BROD_2141, 70 ," 5,66,418 ", 100 ," 7,93,522 ", 0.70 , 0.71 ,,,,,,,,,,,,,,,BROD_BROD_2143,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2222,274,2444994,,,BROD_BROD_2142, 29 ," 1,42,823 ", 45 ," 33,69,899 ", 0.64 , 0.04 ,,,,,,,,,,,,,,,BROD_BROD_2145, 388 ," 17,52,427 ", 821 ," 41,18,877 ", 0.47 , 0.43 ,0.47,0.43
BROD_BROD_2223,535,5075978,,,BROD_BROD_2143,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2146, 107 ," 6,64,252 ", 192 ," 34,12,189 ", 0.56 , 0.19 ,0.56,0.19
BROD_BROD_2224,56,306206,,,BROD_BROD_2145, 388 ," 17,52,427 ", 821 ," 41,18,877 ", 0.47 , 0.43 ,,,,,,,,,,,,,,,BROD_BROD_2147,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2225,128,900626,,,BROD_BROD_2146, 107 ," 6,64,252 ", 192 ," 34,12,189 ", 0.56 , 0.19 ,,,,,,,,,,,,,,,BROD_BROD_2148,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2226,15,118485,,,BROD_BROD_2147,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2149,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2227,17,155004,,,BROD_BROD_2148,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2150,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2228,13,88266,,,BROD_BROD_2149,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2151,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2229,13,79466,,,BROD_BROD_2150,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2152,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2230,16,99334,,,BROD_BROD_2151,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2153,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2231,71,537672,,,BROD_BROD_2152,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2154,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2232,41,312884,,,BROD_BROD_2153,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2155,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2233,58,443094,,,BROD_BROD_2154,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2156,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2234,62,411029,,,BROD_BROD_2155,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2157,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2235,103,680868,,,BROD_BROD_2156,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2158, 40 ," 1,80,337 ", 99 ," 5,70,657 ", 0.40 , 0.32 ,0.4,0.32
BROD_BROD_2236,133,743130,,,BROD_BROD_2157,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2159, 5 ," 12,598 ", 6 ," 18,097 ", 0.83 , 0.70 ,0.83,0.7
BROD_BROD_2237,284,1756530,,,BROD_BROD_2158, 40 ," 1,80,337 ", 99 ," 5,70,657 ", 0.40 , 0.32 ,,,,,,,,,,,,,,,BROD_BROD_2160, 74 ," 3,85,654 ", 126 ," 6,23,798 ", 0.59 , 0.62 ,0.59,0.62
BROD_BROD_2238,148,931858,,,BROD_BROD_2159, 5 ," 12,598 ", 6 ," 18,097 ", 0.83 , 0.70 ,,,,,,,,,,,,,,,BROD_BROD_2161, 107 ," 4,33,317 ", 197 ," 8,26,416 ", 0.54 , 0.52 ,0.54,0.52
BROD_BROD_2239,315,1995158,,,BROD_BROD_2160, 74 ," 3,85,654 ", 126 ," 6,23,798 ", 0.59 , 0.62 ,,,,,,,,,,,,,,,BROD_BROD_2162, 107 ," 4,66,265 ", 132 ," 6,26,886 ", 0.81 , 0.74 ,0.81,0.74
BROD_BROD_2240,92,573072,,,BROD_BROD_2161, 107 ," 4,33,317 ", 197 ," 8,26,416 ", 0.54 , 0.52 ,,,,,,,,,,,,,,,BROD_BROD_2163, 166 ," 6,70,696 ", 200 ," 8,05,125 ", 0.83 , 0.83 ,0.83,0.83
BROD_BROD_2241,161,1048078,,,BROD_BROD_2162, 107 ," 4,66,265 ", 132 ," 6,26,886 ", 0.81 , 0.74 ,,,,,,,,,,,,,,,BROD_BROD_2166,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2242,23,125844,,,BROD_BROD_2163, 166 ," 6,70,696 ", 200 ," 8,05,125 ", 0.83 , 0.83 ,,,,,,,,,,,,,,,BROD_BROD_2167,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2243,97,697897,,,BROD_BROD_2166,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2168,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2244,155,1076955,,,BROD_BROD_2167,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2169,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2245,143,1058387,,,BROD_BROD_2168,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2170, 28 ," 3,17,625 ", 51 ," 37,01,381 ", 0.55 , 0.09 ,0.55,0.09
BROD_BROD_2246,207,1807601,,,BROD_BROD_2169,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2171,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2247,35,247381,,,BROD_BROD_2170, 28 ," 3,17,625 ", 51 ," 37,01,381 ", 0.55 , 0.09 ,,,,,,,,,,,,,,,BROD_BROD_2172, 27 ," 2,00,151 ", 61 ," 37,05,017 ", 0.44 , 0.05 ,0.44,0.05
BROD_BROD_2248,48,331599,,,BROD_BROD_2171,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2176,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2255,75,467568,,,BROD_BROD_2172, 27 ," 2,00,151 ", 61 ," 37,05,017 ", 0.44 , 0.05 ,,,,,,,,,,,,,,,BROD_BROD_2177,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2257,3,6647,,,BROD_BROD_2176,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2178,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2258,3,19391,,,BROD_BROD_2177,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2179,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2259,4,2159898,,,BROD_BROD_2178,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2180,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2260,3,16594,,,BROD_BROD_2179,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2181,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2261,2,43280,,,BROD_BROD_2180,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2182,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2266,99,648256,,,BROD_BROD_2181,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2183,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2267,293,2153243,,,BROD_BROD_2182,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2184,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2268,78,491176,,,BROD_BROD_2183,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2185,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2269,76,587123,,,BROD_BROD_2184,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2186,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2271,32,2688621,,,BROD_BROD_2185,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2187,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2275,783,5985908,,,BROD_BROD_2186,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2188,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2276,30,232465,,,BROD_BROD_2187,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2189,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2277,2,6020,,,BROD_BROD_2188,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2190,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2285,61,313403,,,BROD_BROD_2189,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2191,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2287,90,424798,,,BROD_BROD_2190,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2192,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2358,5,46975,,,BROD_BROD_2191,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2193,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2360,27,329166,,,BROD_BROD_2192,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2194,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2362,60,648467,,,BROD_BROD_2193,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2195,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2364,26,184003,,,BROD_BROD_2194,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2196,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2395,51,358655,,,BROD_BROD_2195,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2197,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2397,6,41508,,,BROD_BROD_2196,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2198,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2399,7,50177,,,BROD_BROD_2197,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2199,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2429,103,917792,,,BROD_BROD_2198,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2200,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2431,197,1900316,,,BROD_BROD_2199,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2201,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2433,22,141740,,,BROD_BROD_2200,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2202,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2434,46,341146,,,BROD_BROD_2201,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2203,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2435,10,97906,,,BROD_BROD_2202,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2204,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2436,7,89992,,,BROD_BROD_2203,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2205,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2437,5,89668,,,BROD_BROD_2204,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2206,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2438,5,40581,,,BROD_BROD_2205,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2207,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2439,7,24524,,,BROD_BROD_2206,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2208,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2440,35,242891,,,BROD_BROD_2207,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2209,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2441,17,131725,,,BROD_BROD_2208,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2210,,, NA , NA , -   , -   , -   , -   
BROD_BROD_2442,39,378344,,,BROD_BROD_2209,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2211, 62 ," 4,06,553 ", 93 ," 6,21,240 ", 0.67 , 0.65 ,0.67,0.65
BROD_BROD_2443,31,196822,,,BROD_BROD_2210,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2212, 181 ," 12,29,374 ", 306 ," 22,84,593 ", 0.59 , 0.54 ,0.59,0.54
BROD_BROD_2444,39,232577,,,BROD_BROD_2211, 62 ," 4,06,553 ", 93 ," 6,21,240 ", 0.67 , 0.65 ,,,,,,,,,,,,,,,BROD_BROD_2213, 48 ," 3,04,689 ", 87 ," 5,79,058 ", 0.55 , 0.53 ,0.55,0.53
BROD_BROD_2445,54,270405,,,BROD_BROD_2212, 181 ," 12,29,374 ", 306 ," 22,84,593 ", 0.59 , 0.54 ,,,,,,,,,,,,,,,BROD_BROD_2214, 50 ," 3,62,500 ", 79 ," 6,21,304 ", 0.63 , 0.58 ,0.63,0.58
BROD_BROD_2446,115,869164,,,BROD_BROD_2213, 48 ," 3,04,689 ", 87 ," 5,79,058 ", 0.55 , 0.53 ,,,,,,,,,,,,,,,BROD_BROD_2215, 4 ," 36,079 ", 10 ," 80,459 ", 0.40 , 0.45 ,0.4,0.45
BROD_BROD_2447,90,699716,,,BROD_BROD_2214, 50 ," 3,62,500 ", 79 ," 6,21,304 ", 0.63 , 0.58 ,,,,,,,,,,,,,,,BROD_BROD_2216, 39 ," 3,89,959 ", 65 ," 5,76,174 ", 0.60 , 0.68 ,0.6,0.68
BROD_BROD_2448,109,740558,,,BROD_BROD_2215, 4 ," 36,079 ", 10 ," 80,459 ", 0.40 , 0.45 ,,,,,,,,,,,,,,,BROD_BROD_2217, 81 ," 6,57,343 ", 125 ," 10,81,442 ", 0.65 , 0.61 ,0.65,0.61
BROD_BROD_2449,49,264648,,,BROD_BROD_2216, 39 ," 3,89,959 ", 65 ," 5,76,174 ", 0.60 , 0.68 ,,,,,,,,,,,,,,,BROD_BROD_2218, 39 ," 2,15,173 ", 62 ," 3,54,313 ", 0.63 , 0.61 ,0.63,0.61
BROD_BROD_2450,76,477364,,,BROD_BROD_2217, 81 ," 6,57,343 ", 125 ," 10,81,442 ", 0.65 , 0.61 ,,,,,,,,,,,,,,,BROD_BROD_2219, 100 ," 6,82,863 ", 149 ," 10,50,028 ", 0.67 , 0.65 ,0.67,0.65
BROD_BROD_2451,10,55958,,,BROD_BROD_2218, 39 ," 2,15,173 ", 62 ," 3,54,313 ", 0.63 , 0.61 ,,,,,,,,,,,,,,,BROD_BROD_2220, 9 ," 60,119 ", 13 ," 78,513 ", 0.69 , 0.77 ,0.69,0.77
BROD_BROD_2452,42,303125,,,BROD_BROD_2219, 100 ," 6,82,863 ", 149 ," 10,50,028 ", 0.67 , 0.65 ,,,,,,,,,,,,,,,BROD_BROD_2221, 17 ," 2,28,337 ", 24 ," 3,05,372 ", 0.71 , 0.75 ,0.71,0.75
BROD_BROD_2453,60,385412,,,BROD_BROD_2220, 9 ," 60,119 ", 13 ," 78,513 ", 0.69 , 0.77 ,,,,,,,,,,,,,,,BROD_BROD_2222, 172 ," 14,76,611 ", 274 ," 24,44,994 ", 0.63 , 0.60 ,0.63,0.6
BROD_BROD_2454,64,506651,,,BROD_BROD_2221, 17 ," 2,28,337 ", 24 ," 3,05,372 ", 0.71 , 0.75 ,,,,,,,,,,,,,,,BROD_BROD_2223, 350 ," 32,12,196 ", 535 ," 50,75,978 ", 0.65 , 0.63 ,0.65,0.63
BROD_BROD_2455,87,698697,,,BROD_BROD_2222, 172 ," 14,76,611 ", 274 ," 24,44,994 ", 0.63 , 0.60 ,,,,,,,,,,,,,,,BROD_BROD_2224, 39 ," 1,88,317 ", 56 ," 3,06,206 ", 0.70 , 0.62 ,0.7,0.62
BROD_BROD_2456,14,80215,,,BROD_BROD_2223, 350 ," 32,12,196 ", 535 ," 50,75,978 ", 0.65 , 0.63 ,,,,,,,,,,,,,,,BROD_BROD_2225, 86 ," 6,02,249 ", 128 ," 9,00,626 ", 0.67 , 0.67 ,0.67,0.67
BROD_BROD_2457,13,71210,,,BROD_BROD_2224, 39 ," 1,88,317 ", 56 ," 3,06,206 ", 0.70 , 0.62 ,,,,,,,,,,,,,,,BROD_BROD_2226, 7 ," 39,536 ", 15 ," 1,18,485 ", 0.47 , 0.33 ,0.47,0.33
BROD_BROD_2458,3,14689,,,BROD_BROD_2225, 86 ," 6,02,249 ", 128 ," 9,00,626 ", 0.67 , 0.67 ,,,,,,,,,,,,,,,BROD_BROD_2227, 14 ," 1,37,515 ", 17 ," 1,55,004 ", 0.82 , 0.89 ,0.82,0.89
BROD_BROD_2459,27,187823,,,BROD_BROD_2226, 7 ," 39,536 ", 15 ," 1,18,485 ", 0.47 , 0.33 ,,,,,,,,,,,,,,,BROD_BROD_2228, 8 ," 53,879 ", 13 ," 88,266 ", 0.62 , 0.61 ,0.62,0.61
BROD_BROD_2460,26,211962,,,BROD_BROD_2227, 14 ," 1,37,515 ", 17 ," 1,55,004 ", 0.82 , 0.89 ,,,,,,,,,,,,,,,BROD_BROD_2229, 9 ," 63,143 ", 13 ," 79,466 ", 0.69 , 0.79 ,0.69,0.79
BROD_BROD_2464,47,306137,,,BROD_BROD_2228, 8 ," 53,879 ", 13 ," 88,266 ", 0.62 , 0.61 ,,,,,,,,,,,,,,,BROD_BROD_2230, 9 ," 70,059 ", 16 ," 99,334 ", 0.56 , 0.71 ,0.56,0.71
BROD_BROD_2465,119,1143136,,,BROD_BROD_2229, 9 ," 63,143 ", 13 ," 79,466 ", 0.69 , 0.79 ,,,,,,,,,,,,,,,BROD_BROD_2231, 46 ," 3,55,236 ", 71 ," 5,37,672 ", 0.65 , 0.66 ,0.65,0.66
BROD_BROD_2466,8,68302,,,BROD_BROD_2230, 9 ," 70,059 ", 16 ," 99,334 ", 0.56 , 0.71 ,,,,,,,,,,,,,,,BROD_BROD_2232, 30 ," 2,14,724 ", 41 ," 3,12,884 ", 0.73 , 0.69 ,0.73,0.69
BROD_BROD_2467,31,153305,,,BROD_BROD_2231, 46 ," 3,55,236 ", 71 ," 5,37,672 ", 0.65 , 0.66 ,,,,,,,,,,,,,,,BROD_BROD_2233, 35 ," 2,48,881 ", 58 ," 4,43,094 ", 0.60 , 0.56 ,0.6,0.56
BROD_BROD_2468,34,221941,,,BROD_BROD_2232, 30 ," 2,14,724 ", 41 ," 3,12,884 ", 0.73 , 0.69 ,,,,,,,,,,,,,,,BROD_BROD_2234, 36 ," 1,99,395 ", 62 ," 4,11,029 ", 0.58 , 0.49 ,0.58,0.49
BROD_BROD_2469,1,2521,,,BROD_BROD_2233, 35 ," 2,48,881 ", 58 ," 4,43,094 ", 0.60 , 0.56 ,,,,,,,,,,,,,,,BROD_BROD_2235, 65 ," 4,71,398 ", 103 ," 6,80,868 ", 0.63 , 0.69 ,0.63,0.69
Grand Total,45041,344481898,,,BROD_BROD_2234, 36 ," 1,99,395 ", 62 ," 4,11,029 ", 0.58 , 0.49 ,,,,,,,,,,,,,,,BROD_BROD_2236, 92 ," 5,32,276 ", 133 ," 7,43,130 ", 0.69 , 0.72 ,0.69,0.72
,,,,,BROD_BROD_2235, 65 ," 4,71,398 ", 103 ," 6,80,868 ", 0.63 , 0.69 ,,,,,,,,,,,,,,,BROD_BROD_2237, 176 ," 10,41,252 ", 284 ," 17,56,530 ", 0.62 , 0.59 ,0.62,0.59
,,,,,BROD_BROD_2236, 92 ," 5,32,276 ", 133 ," 7,43,130 ", 0.69 , 0.72 ,,,,,,,,,,,,,,,BROD_BROD_2238, 100 ," 6,07,630 ", 148 ," 9,31,858 ", 0.68 , 0.65 ,0.68,0.65
,,,,,BROD_BROD_2237, 176 ," 10,41,252 ", 284 ," 17,56,530 ", 0.62 , 0.59 ,,,,,,,,,,,,,,,BROD_BROD_2239, 194 ," 12,66,409 ", 315 ," 19,95,158 ", 0.62 , 0.63 ,0.62,0.63
,,,,,BROD_BROD_2238, 100 ," 6,07,630 ", 148 ," 9,31,858 ", 0.68 , 0.65 ,,,,,,,,,,,,,,,BROD_BROD_2240, 51 ," 3,25,600 ", 92 ," 5,73,072 ", 0.55 , 0.57 ,0.55,0.57
,,,,,BROD_BROD_2239, 194 ," 12,66,409 ", 315 ," 19,95,158 ", 0.62 , 0.63 ,,,,,,,,,,,,,,,BROD_BROD_2241, 106 ," 6,17,948 ", 161 ," 10,48,078 ", 0.66 , 0.59 ,0.66,0.59
,,,,,BROD_BROD_2240, 51 ," 3,25,600 ", 92 ," 5,73,072 ", 0.55 , 0.57 ,,,,,,,,,,,,,,,BROD_BROD_2242, 12 ," 82,953 ", 23 ," 1,25,844 ", 0.52 , 0.66 ,0.52,0.66
,,,,,BROD_BROD_2241, 106 ," 6,17,948 ", 161 ," 10,48,078 ", 0.66 , 0.59 ,,,,,,,,,,,,,,,BROD_BROD_2243, 52 ," 3,66,026 ", 97 ," 6,97,897 ", 0.54 , 0.52 ,0.54,0.52
,,,,,BROD_BROD_2242, 12 ," 82,953 ", 23 ," 1,25,844 ", 0.52 , 0.66 ,,,,,,,,,,,,,,,BROD_BROD_2244, 88 ," 6,90,121 ", 155 ," 10,76,955 ", 0.57 , 0.64 ,0.57,0.64
,,,,,BROD_BROD_2243, 52 ," 3,66,026 ", 97 ," 6,97,897 ", 0.54 , 0.52 ,,,,,,,,,,,,,,,BROD_BROD_2245, 88 ," 6,54,533 ", 143 ," 10,58,387 ", 0.62 , 0.62 ,0.62,0.62
,,,,,BROD_BROD_2244, 88 ," 6,90,121 ", 155 ," 10,76,955 ", 0.57 , 0.64 ,,,,,,,,,,,,,,,BROD_BROD_2246, 123 ," 10,15,518 ", 207 ," 18,07,601 ", 0.59 , 0.56 ,0.59,0.56
,,,,,BROD_BROD_2245, 88 ," 6,54,533 ", 143 ," 10,58,387 ", 0.62 , 0.62 ,,,,,,,,,,,,,,,BROD_BROD_2247, 19 ," 1,48,969 ", 35 ," 2,47,381 ", 0.54 , 0.60 ,0.54,0.6
,,,,,BROD_BROD_2246, 123 ," 10,15,518 ", 207 ," 18,07,601 ", 0.59 , 0.56 ,,,,,,,,,,,,,,,BROD_BROD_2248, 28 ," 1,94,220 ", 48 ," 3,31,599 ", 0.58 , 0.59 ,0.58,0.59
,,,,,BROD_BROD_2247, 19 ," 1,48,969 ", 35 ," 2,47,381 ", 0.54 , 0.60 ,,,,,,,,,,,,,,,BROD_BROD_2249,,, NA , NA , -   , -   , -   , -   
,,,,,BROD_BROD_2248, 28 ," 1,94,220 ", 48 ," 3,31,599 ", 0.58 , 0.59 ,,,,,,,,,,,,,,,BROD_BROD_2250,,, NA , NA , -   , -   , -   , -   
,,,,,BROD_BROD_2249,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2251,,, NA , NA , -   , -   , -   , -   
,,,,,BROD_BROD_2250,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2252,,, NA , NA , -   , -   , -   , -   
,,,,,BROD_BROD_2251,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2253,,, NA , NA , -   , -   , -   , -   
,,,,,BROD_BROD_2252,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2255, 40 ," 1,66,190 ", 75 ," 4,67,568 ", 0.53 , 0.36 ,0.53,0.36
,,,,,BROD_BROD_2253,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2257, 1 , 549 , 3 ," 6,647 ", 0.33 , 0.08 ,0.33,0.08
,,,,,BROD_BROD_2255, 40 ," 1,66,190 ", 75 ," 4,67,568 ", 0.53 , 0.36 ,,,,,,,,,,,,,,,BROD_BROD_2258, 3 ," 19,391 ", 3 ," 19,391 ", 1.00 , 1.00 ,1,1
,,,,,BROD_BROD_2257, 1 , 549 , 3 ," 6,647 ", 0.33 , 0.08 ,,,,,,,,,,,,,,,BROD_BROD_2259, 3 ," 13,987 ", 4 ," 21,59,898 ", 0.75 , 0.01 ,0.75,0.01
,,,,,BROD_BROD_2258, 3 ," 19,391 ", 3 ," 19,391 ", 1.00 , 1.00 ,,,,,,,,,,,,,,,BROD_BROD_2260, 1 ," 5,598 ", 3 ," 16,594 ", 0.33 , 0.34 ,0.33,0.34
,,,,,BROD_BROD_2259, 3 ," 13,987 ", 4 ," 21,59,898 ", 0.75 , 0.01 ,,,,,,,,,,,,,,,BROD_BROD_2261, 1 ," 23,791 ", 2 ," 43,280 ", 0.50 , 0.55 ,0.5,0.55
,,,,,BROD_BROD_2260, 1 ," 5,598 ", 3 ," 16,594 ", 0.33 , 0.34 ,,,,,,,,,,,,,,,BROD_BROD_2262,,, NA , NA , -   , -   , -   , -   
,,,,,BROD_BROD_2261, 1 ," 23,791 ", 2 ," 43,280 ", 0.50 , 0.55 ,,,,,,,,,,,,,,,BROD_BROD_2263,,, NA , NA , -   , -   , -   , -   
,,,,,BROD_BROD_2262,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2264,,, NA , NA , -   , -   , -   , -   
,,,,,BROD_BROD_2263,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2265,,, NA , NA , -   , -   , -   , -   
,,,,,BROD_BROD_2264,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2266, 60 ," 4,21,102 ", 99 ," 6,48,256 ", 0.61 , 0.65 ,0.61,0.65
,,,,,BROD_BROD_2265,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2267, 126 ," 9,47,713 ", 293 ," 21,53,243 ", 0.43 , 0.44 ,0.43,0.44
,,,,,BROD_BROD_2266, 60 ," 4,21,102 ", 99 ," 6,48,256 ", 0.61 , 0.65 ,,,,,,,,,,,,,,,BROD_BROD_2268, 52 ," 3,22,837 ", 78 ," 4,91,176 ", 0.67 , 0.66 ,0.67,0.66
,,,,,BROD_BROD_2267, 126 ," 9,47,713 ", 293 ," 21,53,243 ", 0.43 , 0.44 ,,,,,,,,,,,,,,,BROD_BROD_2269, 46 ," 3,47,865 ", 76 ," 5,87,123 ", 0.61 , 0.59 ,0.61,0.59
,,,,,BROD_BROD_2268, 52 ," 3,22,837 ", 78 ," 4,91,176 ", 0.67 , 0.66 ,,,,,,,,,,,,,,,BROD_BROD_2270,,, NA , NA , -   , -   , -   , -   
,,,,,BROD_BROD_2269, 46 ," 3,47,865 ", 76 ," 5,87,123 ", 0.61 , 0.59 ,,,,,,,,,,,,,,,BROD_BROD_2271, 26 ," 1,29,754 ", 32 ," 26,88,621 ", 0.81 , 0.05 ,0.81,0.05
,,,,,BROD_BROD_2270,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2272,,, NA , NA , -   , -   , -   , -   
,,,,,BROD_BROD_2271, 26 ," 1,29,754 ", 32 ," 26,88,621 ", 0.81 , 0.05 ,,,,,,,,,,,,,,,BROD_BROD_2273,,, NA , NA , -   , -   , -   , -   
,,,,,BROD_BROD_2272,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2274,,, NA , NA , -   , -   , -   , -   
,,,,,BROD_BROD_2273,,, NA , NA , -   , -   ,,,,,,,,,,,,,,,BROD_BROD_2275, 836 ," 62,65,742 ", 783 ," 59,85,908 ", 1.07 , 1.05 ,1.07,1.05
