Id,Week,Month,StartDate,EndDate,CustomerType,SegmentId,SegmentName,Target Audience,Delivered,Sent,Undelivered,Failed,OPEN,READ,Delivery %,Open %,Read %,Responders,In store Responders,Online Responders,Common Responders,Read and Responders,Read and In store Responders,Read and Online Responders,Read and Common Responders,Responders Sales,In store Responders Sales,Online Responders Sales,Common Responders Sales,Read and Responders Sales,Read and In store Responders Sales,Read and Online Responders Sales,Read and Common Responders Sales,Responders NOBs,In store Responders NOBs,Online Responders NOBs,Common Responders NOBs,Read and Responders NOBs,Read and In store Responders NOBs,Read and Online Responders NOBs,Read and Common Responders NOBs,Points Redeemers,Points Issued,Points Redeemed,Points Redeemers Sales,Points Redeemers Bills,Coupon Redeemers,Coupons Issued,Coupons Redeemed,Coupon Redeemers Sales,Coupon Redeemers Bills,Responders Hit Rate,Responders Hit Rate Offline,Responders Hit Rate Online,Responders Hit Rate Omni,Communication Cost,Reward Cost,Total Cost,Lift,Shift,IncreamentalSales,ROI Without Reward Cost,ROI With Reward Cost,Incremental Hit Rate %
2035,Week 42,October,2025-10-13,2025-10-19,Targetted,1015,Bottom_Stores_dusshera_stores_Oct_1,1209,773,0,0,436,0,0,63.94,0.00,0.00,2,2,0,,0,0,0,,19007.00,19007.00,,,,,,,2,2,0,,0,0,0,,0,0.00,0.00,,0,,,,,,0.26,0.26,0.00,,102.70,0.00,102.70,0,19100.1343,19100.1343,185.9799,185.9799,
2036,Week 42,October,2025-10-13,2025-10-19,Targetted,1016,Bottom_Stores_puja_stores_Oct_1,13796,9465,0,0,4331,0,0,68.61,0.00,0.00,40,40,0,,0,0,0,,339396.00,339396.00,,,,,,,47,47,0,,0,0,0,,6,4315.00,7617.00,30491.00,6,,,,,,0.42,0.42,0.00,,1265.42,7617.00,8882.42,-42157.9756,34174.2888,-7983.6868,-6.3091,-0.8988,0.0005
2037,Week 42,October,2025-10-13,2025-10-19,Targetted,1017,Bottom_Stores_common_stores_Oct_1,19705,12847,0,0,6858,0,0,65.20,0.00,0.00,34,34,0,,0,0,0,,295557.00,295557.00,,,,,,,34,34,0,,0,0,0,,2,2330.00,4700.00,6634.00,2,,,,,,0.26,0.26,0.00,,1721.59,4700.00,6421.59,0,290360.4111,290360.4111,168.6583,45.2163,
2038,Week 42,October,2025-10-13,2025-10-19,Targetted,1020,MVC_P1_MVC_Customers_who_purchased_suits_jackets_dusshera_stores_oct_1,5447,2398,309,0,2740,0,1189,44.02,0.00,49.58,23,23,0,,11,11,0,,198845.00,198845.00,,,100642.00,100642.00,,,26,26,0,,14,14,0,,8,6579.00,11403.00,36117.00,8,,,,,,0.96,0.96,0.00,,1512.00,11403.00,12915.00,5483.8752,25675.4782,31159.3534,20.608,2.4126,0.0014
2039,Week 42,October,2025-10-13,2025-10-19,Targetted,1021,Winback_P4_Existing_R_bw_13_24_Month_Formal_puja_stores_oct_1,10194,6863,0,0,3331,0,0,67.32,0.00,0.00,10,10,0,,0,0,0,,74382.00,74382.00,,,,,,,11,11,0,,0,0,0,,1,0.00,248.00,4158.00,1,,,,,,0.15,0.15,0.00,,916.63,248.00,1164.63,-327.3651,-176348.9028,-176676.2679,-192.7455,-151.7016,-0.0038
2040,Week 42,October,2025-10-13,2025-10-19,Targetted,1022,MVC_P1_MVC_Customers_who_purchased_suits_jackets_chath_stores_oct_1,2437,1424,128,0,885,0,832,58.43,0.00,58.43,7,7,0,,5,5,0,,78286.00,78286.00,,,27664.00,27664.00,,,8,8,0,,5,5,0,,2,4422.00,2300.00,8213.00,2,,,,,,0.49,0.49,0.00,,877.80,2300.00,3177.80,0,68281.0492,68281.0492,77.7866,21.4869,
2041,Week 42,October,2025-10-13,2025-10-19,Targetted,1023,R2R_P1_MVC_Repeaters_Max_Bill_Value_gt_than_10K_rest_of_india_oct_1,9976,5481,415,0,4080,0,2815,54.94,0.00,51.36,171,170,1,,101,100,1,,2271797.75,2268297.00,3500.75,,1411829.75,1408329.00,3500.75,,194,193,1,,116,115,1,,35,46139.00,41571.00,247884.48,35,,,,,,3.12,3.10,0.02,,3426.60,41571.00,44997.60,104605.4877,-231062.9101,-126457.4224,-36.9046,-2.8103,-0.0036
2042,Week 42,October,2025-10-13,2025-10-19,Targetted,1025,R2R_P3_Existing_repeat_R_bw_1_12_Month_Casual_common_stores_oct_1,3029,2085,0,0,944,0,0,68.83,0.00,0.00,9,9,0,,0,0,0,,51750.00,51750.00,,,,,,,9,9,0,,0,0,0,,0,0.00,0.00,,0,,,,,,0.43,0.43,0.00,,279.37,0.00,279.37,0,51551.625,51551.625,184.5281,184.5281,
2043,Week 42,October,2025-10-13,2025-10-19,Targetted,1033,R2R_P3_Existing_repeat_R_bw_1_12_Month_Mix_of_Category_puja_stores_oct_1,2106,1452,0,0,654,0,0,68.95,0.00,0.00,7,7,0,,0,0,0,,52010.00,52010.00,,,,,,,8,8,0,,0,0,0,,0,0.00,0.00,,0,,,,,,0.48,0.48,0.00,,194.09,0.00,194.09,0,45311.112,45311.112,233.4541,233.4541,
2044,Week 42,October,2025-10-13,2025-10-19,Targetted,1034,N2R_P3_Existing_One_timer_R_bw_1_12_Month_Casual_chath_stores_oct_1,1380,1009,0,0,371,0,0,73.12,0.00,0.00,3,3,0,,0,0,0,,23153.00,23153.00,,,,,,,3,3,0,,0,0,0,,0,0.00,0.00,,0,,,,,,0.30,0.30,0.00,,134.94,0.00,134.94,0,23361.3771,23361.3771,173.1242,173.1242,
2045,Week 42,October,2025-10-13,2025-10-19,Targetted,1037,Winback_P4_Existing_R_bw_13_24_Month_Formal_common_stores_oct_1,5339,3579,0,0,1760,0,0,67.04,0.00,0.00,3,3,0,,0,0,0,,33305.00,33305.00,,,,,,,5,5,0,,0,0,0,,0,0.00,0.00,,0,,,,,,0.08,0.08,0.00,,479.57,0.00,479.57,0,19071.7752,19071.7752,39.7685,39.7685,
2046,Week 42,October,2025-10-13,2025-10-19,Targetted,1039,Winback_P4_Existing_R_bw_13_24_Month_Formal_rest_of_india_oct_1,88577,50481,0,0,38096,0,0,56.99,0.00,0.00,119,117,2,,0,0,0,,1002977.94,998467.20,4510.74,,,,,,128,126,2,,0,0,0,,1,5330.00,699.00,3159.00,1,,,,,,0.24,0.23,0.00,,6797.18,699.00,7496.18,375683.8141,79111.4526,454795.2667,66.9094,60.6703,0.0002
2047,Week 42,October,2025-10-13,2025-10-19,Targetted,1040,R2R_P3_Existing_repeat_R_bw_1_12_Month_Formal_dusshera_stores_oct_1,4823,2643,0,0,2180,0,0,54.80,0.00,0.00,21,21,0,,0,0,0,,176409.00,176409.00,,,,,,,21,21,0,,0,0,0,,1,2551.00,300.00,4868.00,1,,,,,,0.79,0.79,0.00,,356.20,300.00,656.20,0,175398.429,175398.429,492.4156,267.2942,
2048,Week 42,October,2025-10-13,2025-10-19,Targetted,1041,Winback_P4_Existing_R_bw_13_24_Month_Mix_of_Category_common_stores_oct_1,1660,1103,0,0,557,0,0,66.45,0.00,0.00,2,2,0,,0,0,0,,13290.00,13290.00,,,,,,,2,2,0,,0,0,0,,0,0.00,0.00,,0,,,,,,0.18,0.18,0.00,,149.89,0.00,149.89,0,13192.983,13192.983,88.0178,88.0178,
2049,Week 42,October,2025-10-13,2025-10-19,Targetted,1043,R2R_P3_Existing_repeat_R_bw_1_12_Month_Casual_dusshera_stores_oct_1,4851,2680,0,0,2171,0,0,55.25,0.00,0.00,24,23,1,,0,0,0,,120796.75,118552.90,2243.85,,,,,,24,23,1,,0,0,0,,1,0.00,425.00,5778.00,1,1,0,1,2619.00,1,0.90,0.86,0.04,,359.97,686.90,1046.87,-273297.8166,-182101.1,-455398.9166,-1265.1024,-435.01,-0.0135
2050,Week 42,October,2025-10-13,2025-10-19,Targetted,1045,MVC_P1_MVC_Customers_who_purchased_suits_jackets_rest_of_india_oct_1,63212,32350,3275,0,27587,0,16443,51.18,0.00,50.83,282,281,1,,159,159,0,,3129873.29,3115719.30,14153.99,,1882340.50,1882340.50,,,319,318,1,,186,186,0,,78,53944.00,103466.00,656929.00,78,4,0,4,15517.00,4,0.87,0.87,0.00,,20196.00,106520.40,126716.40,-720197.4948,95220.7531,-624976.7417,-30.9456,-4.9321,0.0003
2051,Week 42,October,2025-10-13,2025-10-19,Targetted,1047,R2R_P3_Existing_R_bw_1_12_Month_Mix_of_Category_common_stores_oct_1,1683,1124,0,0,559,0,0,66.79,0.00,0.00,4,4,0,,0,0,0,,38743.00,38743.00,,,,,,,5,5,0,,0,0,0,,0,0.00,0.00,,0,,,,,,0.36,0.36,0.00,,150.28,0.00,150.28,0,31353.935,31353.935,208.6368,208.6368,
2052,Week 42,October,2025-10-13,2025-10-19,Targetted,1049,N2R_P2_New_Customer_chath_stores_oct_1,2789,2046,0,0,743,0,0,73.36,0.00,0.00,5,5,0,,0,0,0,,44647.00,44647.00,,,,,,,5,5,0,,0,0,0,,0,0.00,0.00,,0,,,,,,0.24,0.24,0.00,,273.26,0.00,273.26,-398338.0724,-283178.0622,-681516.1346,-2494.0208,-2494.0208,-0.0155
2053,Week 42,October,2025-10-13,2025-10-19,Targetted,1050,MVC_P1_MVC_Customers_Max_Bill_Value_bw_6_10K_rest_of_india_oct_1,3144,1792,129,0,1223,0,971,57.00,0.00,54.19,50,50,0,,32,32,0,,401833.00,401833.00,,,233411.00,233411.00,,,52,52,0,,33,33,0,,17,6152.00,13219.00,102807.00,17,,,,,,2.79,2.79,0.00,,1117.80,13219.00,14336.80,133728.1139,191099.4109,324827.5248,290.5954,22.6569,0.0138
2054,Week 42,October,2025-10-13,2025-10-19,Targetted,1051,MVC_P1_MVC_Customers_puja_Stores_oct_1,3349,1804,130,0,1415,0,977,53.87,0.00,54.16,30,29,1,,16,15,1,,246193.55,244418.00,1775.55,,156082.55,154307.00,1775.55,,31,30,1,,17,16,1,,13,8438.00,13129.00,100304.00,13,,,,,,1.66,1.61,0.06,,1128.00,13129.00,14257.00,0,237826.1454,237826.1454,210.8388,16.6814,
2055,Week 42,October,2025-10-13,2025-10-19,Targetted,1052,N2R_P3_Existing_One_timer_R_bw_1_12_Month_Mix_of_Category_puja_stores_oct_1,1992,1376,0,0,616,0,0,69.08,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.60,,,0,0,0,0,,
2056,Week 42,October,2025-10-13,2025-10-19,Targetted,1054,N2R_P3_Existing_One_timer_R_bw_1_12_Month_Mix_of_Category_dusshera_stores_oct_1,1311,786,0,0,525,0,0,59.95,0.00,0.00,1,1,0,,0,0,0,,4864.00,4864.00,,,,,,,1,1,0,,0,0,0,,0,0.00,0.00,,0,,,,,,0.13,0.13,0.00,,105.43,0.00,105.43,0,4970.0352,4970.0352,47.1406,47.1406,
2057,Week 42,October,2025-10-13,2025-10-19,Targetted,1055,R2R_P3_Existing_repeat_R_bw_1_12_Month_Casual_rest_of_india_oct_1,37741,22180,0,0,15561,0,0,58.77,0.00,0.00,183,182,1,,0,0,0,,1423561.65,1421282.60,2279.05,,,,,,200,199,1,,0,0,0,,13,11733.00,6036.00,42211.00,13,1,0,1,6844.00,1,0.83,0.82,0.00,,2976.35,6536.00,9512.35,289772.5814,-15787.2986,273985.2828,92.0541,28.8031,-0.0001
2058,Week 42,October,2025-10-13,2025-10-19,Targetted,1056,N2R_P2_New_Customer_common_stores_oct_1,5009,3629,0,0,1380,0,0,72.45,0.00,0.00,8,7,1,,0,0,0,,49779.75,48445.00,1334.75,,,,,,8,7,1,,0,0,0,,0,511.00,0.00,,0,,,,,,0.22,0.19,0.03,,483.99,0.00,483.99,0,49678.9464,49678.9464,102.6446,102.6446,
2059,Week 42,October,2025-10-13,2025-10-19,Targetted,1057,N2R_P3_Existing_One_timer_R_bw_1_12_Month_Casual_puja_stores_oct_1,5846,4102,0,0,1744,0,0,70.17,0.00,0.00,11,11,0,,0,0,0,,46498.15,46498.15,,,,,,,12,12,0,,0,0,0,,0,973.00,0.00,,0,,,,,,0.27,0.27,0.00,,547.82,0.00,547.82,0,42915.4672,42915.4672,78.3386,78.3386,
2060,Week 42,October,2025-10-13,2025-10-19,Targetted,1060,N2R_P3_Existing_One_timer_R_bw_1_12_Month_Formal_puja_stores_oct_1,4508,3153,0,0,1355,0,0,69.94,0.00,0.00,8,8,0,,0,0,0,,63048.00,63048.00,,,,,,,8,8,0,,0,0,0,,0,0.00,0.00,,0,,,,,,0.25,0.25,0.00,,422.50,0.00,422.50,461579.9667,-449763.1533,11816.8134,27.9688,27.9688,-0.0181
2061,Week 42,October,2025-10-13,2025-10-19,Targetted,1061,R2R_P3_Existing_repeat_R_bw_1_12_Month_Formal_chath_stores_oct_1,1209,834,0,0,375,0,0,68.98,0.00,0.00,3,3,0,,0,0,0,,27238.00,27238.00,,,,,,,3,3,0,,0,0,0,,0,0.00,0.00,,0,,,,,,0.36,0.36,0.00,,111.28,0.00,111.28,0,27259.7903,27259.7903,244.9658,244.9658,
2062,Week 42,October,2025-10-13,2025-10-19,Targetted,1062,Winback_P4_Existing_R_bw_13_24_Month_Formal_dusshera_stores_oct_1,9986,5528,0,0,4458,0,0,55.36,0.00,0.00,26,26,0,,0,0,0,,158004.00,158004.00,,,,,,,29,29,0,,0,0,0,,1,0.00,680.00,4284.00,1,,,,,,0.47,0.47,0.00,,744.90,680.00,1424.90,0,141558.508,141558.508,190.0369,99.3463,
2063,Week 42,October,2025-10-13,2025-10-19,Targetted,1063,,10200,5160,479,0,4561,0,2741,50.59,0.00,53.12,41,41,0,,31,31,0,,272593.00,272593.00,,,212738.00,212738.00,,,44,44,0,,34,34,0,,29,6962.00,38257.00,130384.00,29,,,,,,0.79,0.79,0.00,,3208.20,38257.00,41465.20,59120.7611,-89509.6294,-30388.8683,-9.4722,-0.7329,-0.0028
2064,Week 42,October,2025-10-13,2025-10-19,Targetted,1065,N2R_P3_Existing_One_timer_R_bw_1_12_Month_Casual_dusshera_stores_oct_1,4941,2895,0,0,2046,0,0,58.59,0.00,0.00,5,5,0,,0,0,0,,32512.00,32512.00,,,,,,,5,5,0,,0,0,0,,0,0.00,0.00,,0,,,,,,0.17,0.17,0.00,,389.22,0.00,389.22,0,32001.5616,32001.5616,82.2197,82.2197,
2065,Week 42,October,2025-10-13,2025-10-19,Targetted,1068,Winback_P4_Existing_R_bw_13_24_Month_Mix_of_Category_puja_stores_oct_1,3559,2350,0,0,1209,0,0,66.03,0.00,0.00,1,1,0,,0,0,0,,6896.00,6896.00,,,,,,,1,1,0,,0,0,0,,0,0.00,0.00,,0,,,,,,0.04,0.04,0.00,,313.95,0.00,313.95,0,6482.24,6482.24,20.6474,20.6474,
2066,Week 42,October,2025-10-13,2025-10-19,Targetted,1069,N2R_P2_New_Customer_rest_of_india_oct_1,68706,43491,0,0,25215,0,0,63.30,0.00,0.00,140,139,1,,0,0,0,,1125570.13,1123285.84,2284.29,,,,,,150,149,1,,0,0,0,,1,10219.00,420.00,4209.00,1,,,,,,0.32,0.32,0.00,,5838.56,420.00,6258.56,199881.2115,587426.0489,787307.2604,134.8461,125.7969,0.0018
2067,Week 42,October,2025-10-13,2025-10-19,Targetted,1070,Winback_P4_Existing_R_bw_13_24_Month_Mix_of_Category_chath_stores_oct_1,672,452,0,0,220,0,0,67.26,0.00,0.00,1,1,0,,0,0,0,,6844.00,6844.00,,,,,,,1,1,0,,0,0,0,,0,0.00,0.00,,0,,,,,,0.22,0.22,0.00,,60.32,0.00,60.32,0,6805.6736,6805.6736,112.8262,112.8262,
2068,Week 42,October,2025-10-13,2025-10-19,Targetted,1071,MVC_P1_MVC_Customers_Chath_Stores_oct_1,468,285,23,0,160,0,164,60.90,0.00,57.54,2,2,0,,2,2,0,,14882.00,14882.00,,,14882.00,14882.00,,,2,2,0,,2,2,0,,1,142.00,400.00,2435.00,1,,,,,,0.70,0.70,0.00,,175.80,400.00,575.80,21268.125,-250240.83,-228972.705,-1302.4613,-397.6601,-0.118
2069,Week 42,October,2025-10-13,2025-10-19,Targetted,1073,Winback_P4_Existing_R_bw_13_24_Month_Casual_chath_stores_oct_1,3554,2434,0,0,1120,0,0,68.49,0.00,0.00,4,4,0,,0,0,0,,23023.00,23023.00,,,,,,,5,5,0,,0,0,0,,0,0.00,0.00,,0,,,,,,0.16,0.16,0.00,,323.96,0.00,323.96,0,17932.1542,17932.1542,55.353,55.353,
2070,Week 42,October,2025-10-13,2025-10-19,Targetted,1074,MVC_P1_MVC_Customers_who_purchased_suits_jackets_common_stores_oct_1,6659,3524,339,0,2796,0,1969,52.92,0.00,55.87,26,26,0,,20,20,0,,248789.99,248789.99,,,149916.00,149916.00,,,29,29,0,,23,23,0,,20,3724.00,31506.00,137580.00,20,,,,,,0.74,0.74,0.00,,2193.60,31506.00,33699.60,0,223718.8229,223718.8229,101.9871,6.6386,
2071,Week 42,October,2025-10-13,2025-10-19,Targetted,1075,N2R_P2_New_Customer_puja_stores_oct_1,12096,8893,0,0,3203,0,0,73.52,0.00,0.00,18,17,1,,0,0,0,,143946.73,140551.00,3395.73,,,,,,20,19,1,,0,0,0,,0,1692.00,0.00,,0,,,,,,0.20,0.19,0.01,,1186.90,0.00,1186.90,17878.7238,-409637.8464,-391759.1226,-330.0692,-330.0692,-0.0064
2072,Week 42,October,2025-10-13,2025-10-19,Targetted,1076,R2R_P3_Existing_repeat_R_bw_1_12_Month_Formal_puja_stores_oct_1,5718,3866,0,0,1852,0,0,67.61,0.00,0.00,25,23,2,,0,0,0,,232142.39,223022.85,9119.54,,,,,,32,30,2,,0,0,0,,4,6805.00,2891.00,10211.00,4,,,,,,0.65,0.59,0.05,,515.84,2891.00,3406.84,0,182297.0665,182297.0665,353.3985,53.5091,
2073,Week 42,October,2025-10-13,2025-10-19,Targetted,1078,R2R_P3_Existing_repeat_R_bw_1_12_Month_Formal_common_stores_oct_1,2745,1895,0,0,850,0,0,69.03,0.00,0.00,11,10,1,,0,0,0,,97988.05,95709.00,2279.05,,,,,,11,10,1,,0,0,0,,0,1836.00,0.00,,0,,,,,,0.58,0.53,0.05,,253.37,0.00,253.37,0,97907.8775,97907.8775,386.4225,386.4225,
2074,Week 42,October,2025-10-13,2025-10-19,Targetted,1080,N2R_P3_Existing_One_timer_R_bw_1_12_Month_Formal_chath_stores_oct_1,1075,768,0,0,307,0,0,71.44,0.00,0.00,4,4,0,,0,0,0,,31755.00,31755.00,,,,,,,4,4,0,,0,0,0,,0,0.00,0.00,,0,,,,,,0.52,0.52,0.00,,102.05,0.00,102.05,0,31704.192,31704.192,310.6731,310.6731,
2075,Week 42,October,2025-10-13,2025-10-19,Targetted,1081,Winback_P4_Existing_R_bw_13_24_Month_Formal_chath_stores_oct_1,2659,1788,0,0,871,0,0,67.24,0.00,0.00,2,2,0,,0,0,0,,13341.00,13341.00,,,,,,,2,2,0,,0,0,0,,0,0.00,0.00,,0,,,,,,0.11,0.11,0.00,,241.02,0.00,241.02,0,13119.5394,13119.5394,54.4334,54.4334,
2076,Week 42,October,2025-10-13,2025-10-19,Targetted,1082,N2R_P3_Existing_One_timer_R_bw_1_12_Month_Formal_common_stores_oct_1,1811,1274,0,0,537,0,0,70.35,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.30,,,0,0,0,0,,
2077,Week 42,October,2025-10-13,2025-10-19,Targetted,1083,Winback_P4_Existing_R_bw_13_24_Month_Casual_dusshera_stores_oct_1,11178,6275,0,0,4903,0,0,56.14,0.00,0.00,17,17,0,,0,0,0,,124565.00,124565.00,,,,,,,17,17,0,,0,0,0,,0,0.00,0.00,,0,,,,,,0.27,0.27,0.00,,843.96,0.00,843.96,68203.749,-87360.365,-19156.616,-22.6985,-22.6985,-0.0019
2078,Week 42,October,2025-10-13,2025-10-19,Targetted,1084,N2R_P2_New_Customer_dusshera_stores_oct_1,11020,6725,0,0,4295,0,0,61.03,0.00,0.00,17,17,0,,0,0,0,,108294.00,108294.00,,,,,,,20,20,0,,0,0,0,,0,548.00,0.00,,0,1,0,1,5054.00,1,0.25,0.25,0.00,,901.94,500.00,1401.94,0,91034.6438,91034.6438,100.932,64.9348,
2079,Week 42,October,2025-10-13,2025-10-19,Targetted,1085,N2R_P3_Existing_One_timer_R_bw_1_12_Month_Formal_rest_of_india_oct_1,34810,20761,0,0,14049,0,0,59.64,0.00,0.00,56,56,0,,0,0,0,,512618.00,512618.00,,,,,,,59,59,0,,0,0,0,,2,5314.00,1350.00,6298.00,2,,,,,,0.27,0.27,0.00,,2787.33,1350.00,4137.33,-124085.1534,216456.8608,92371.7074,33.1399,22.3264,0.0012
2080,Week 42,October,2025-10-13,2025-10-19,Targetted,1087,R2R_P3_Existing_repeat_R_bw_1_12_Month_Formal_rest_of_india_oct_1,43122,24719,0,0,18403,0,0,57.32,0.00,0.00,215,214,1,,0,0,0,,1800934.39,1798520.98,2413.41,,,,,,234,233,1,,0,0,0,,5,13057.00,1510.00,25033.00,5,1,0,1,4209.00,1,0.87,0.87,0.00,,3327.35,1930.90,5258.25,339450.7922,780003.9238,1119454.716,336.4403,212.8949,0.0041
