CampaignName,Campaigncode,Campaignsubcode,mastercampaigncode,CustomerType,channel,segmentid,segmentname,campaigntype,CampaignScheduleDate,RoiStartDate,RoiEndDate,IncentiveType,IncentiveOfferCode,IncentiveValue,IncentiveNarration,TotalBase,Delivered,Undelivered,DND,Expired,Failed,Unsubscribe,DeliveryRate,Opened,OpenRate,Clicked,ClickThroughRate,Responder,ResponderSales,ResponderTransaction,ResponderATV,ResponderHitRate,ResponderVisit,ResponderABS,TotalPointIssued,PointsRedeemed,PointsRedeemer,PointsRedeemerSales,PointsRedeemerTransaction,RedeemerVisit,RedeemerHitRate,AmountRedeemer,AmountRedeemerSales,AmountRedeemerTransaction,AmountRedeemerATV,AmountRedeemerABS,CouponIssued,CouponRedeemer,CouponRedeemerSales,CouponRedeemerTransaction,CouponRedeemed,ProductRedeemer,ProductRedeemerSales,ProductRedeemerTransaction,ProductRedeemerATV,ProductRedeemerABS,PerProductRedeemer,GvRedeemer,GVRedeemerSales,GVRedeemerTransaction,GVRedeemerABS,Lift,Shift,IncreamentalSales,CommunicationCost,OfferCost,ROIWithCommunicationCost,ROIWithCommunicationCostAndRewardCost,OfferType,IncrementalHitRate,CostPerResponder,ContentType
On Birthday_Daily Alert Final,ALT_BIRTH_19,ALT_BIRTH_19_2025-10-11,ALT_BIRTH_19,Target,WhatsApp,181,On date Birthday wish,Birthday ,2025-10-11,2025-10-11,2025-10-11,,,,,1882,932,,,,868,,49.52%,510,54.72%,0,0%,3,11041.0,3,3680.33,0.32%,3,1.67,615.00,0.00,0,0.00,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,1129.20,,,,,0.0032,376.4,on_birthday_apr_9072
On Birthday_Daily Alert Final,ALT_BIRTH_19,ALT_BIRTH_19_2025-10-12,ALT_BIRTH_19,Target,WhatsApp,181,On date Birthday wish,Birthday ,2025-10-12,2025-10-12,2025-10-12,,,,,3026,1353,,,,1515,,44.71%,761,56.25%,0,0%,2,19462.00,2,9731,0.15%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1815.60,,,,,0.0015,907.8,on_birthday_apr_9072
On Birthday_Daily Alert Final,ALT_BIRTH_19,ALT_BIRTH_19_2025-10-13,ALT_BIRTH_19,Target,WhatsApp,181,On date Birthday wish,Birthday ,2025-10-13,2025-10-13,2025-10-13,,,,,1816,942,,,,798,,51.87%,531,56.37%,0,0%,3,11965.8,3,3988.6,0.32%,3,1.67,555.00,0.00,0,0.00,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,1089.60,,,,,0.0032,363.2,on_birthday_apr_9072
On Birthday_Daily Alert Final,ALT_BIRTH_19,ALT_BIRTH_19_2025-10-14,ALT_BIRTH_19,Target,WhatsApp,181,On date Birthday wish,Birthday ,2025-10-14,2025-10-14,2025-10-14,,,,,1809,938,,,,785,,51.85%,544,58%,0,0%,2,20639.00,2,10319.5,0.21%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1085.40,,,,,0.0021,542.7,on_birthday_apr_9072
On Birthday_Daily Alert Final,ALT_BIRTH_19,ALT_BIRTH_19_2025-10-15,ALT_BIRTH_19,Target,WhatsApp,181,On date Birthday wish,Birthday ,2025-10-15,2025-10-15,2025-10-15,,,,,2567,1352,,,,1095,,52.67%,743,54.96%,0,0%,3,50134.5,4,12533.62,0.22%,3,3.5,264.00,0.00,0,0.00,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,1540.20,,,,,0.0022,513.4,on_birthday_apr_9072
On Birthday_Daily Alert Final,ALT_BIRTH_19,ALT_BIRTH_19_2025-10-16,ALT_BIRTH_19,Target,WhatsApp,181,On date Birthday wish,Birthday ,2025-10-16,2025-10-16,2025-10-16,,,,,1755,794,,,,879,,45.24%,419,52.77%,0,0%,4,30781.25,4,7695.31,0.5%,4,2.25,287.00,1500.00,1,5594.00,1,1,0.1259%,,,,,,,,,,,,,,,,,,,,,,,,1053.00,,,,,0.005,263.25,on_birthday_apr_9072
On Birthday_Daily Alert Final,ALT_BIRTH_19,ALT_BIRTH_19_2025-10-17,ALT_BIRTH_19,Target,WhatsApp,181,On date Birthday wish,Birthday ,2025-10-17,2025-10-17,2025-10-17,,,,,1636,812,,,,765,,49.63%,439,54.06%,0,0%,1,3840.00,1,3840,0.12%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,981.60,,,,,0.0012,981.6,on_birthday_apr_9072
On Birthday_Daily Alert Final,ALT_BIRTH_19,ALT_BIRTH_19_2025-10-18,ALT_BIRTH_19,Target,WhatsApp,181,On date Birthday wish,Birthday ,2025-10-18,2025-10-18,2025-10-18,,,,,1751,774,,,,920,,44.2%,415,53.62%,0,0%,3,25343.50,3,8447.83,0.39%,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050.60,,,,,0.0039,350.2,on_birthday_apr_9072
On Birthday_Daily Alert Final,ALT_BIRTH_19,ALT_BIRTH_19_2025-10-19,ALT_BIRTH_19,Target,WhatsApp,181,On date Birthday wish,Birthday ,2025-10-19,2025-10-19,2025-10-19,,,,,1635,697,,,,888,,42.63%,414,59.4%,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,981.00,,,,,,,on_birthday_apr_9072
On Birthday_Daily Alert Final,ALT_BIRTH_19,ALT_BIRTH_19_2025-10-20,ALT_BIRTH_19,Target,WhatsApp,181,On date Birthday wish,Birthday ,2025-10-20,2025-10-20,2025-10-20,,,,,2293,990,,,,1214,,43.17%,498,50.3%,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1375.80,,,,,,,on_birthday_apr_9072
On Birthday_Daily Alert Final,ALT_BIRTH_19,ALT_BIRTH_19_2025-10-21,ALT_BIRTH_19,Target,WhatsApp,181,On date Birthday wish,Birthday ,2025-10-21,2025-10-21,2025-10-21,,,,,1563,616,,,,892,,39.41%,364,59.09%,0,0%,1,2435.0,1,2435,0.16%,1,1.0,170.00,0.00,0,0.00,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,937.80,,,,,0.0016,937.8,on_birthday_apr_9072
On Birthday_Daily Alert Final,ALT_BIRTH_19,ALT_BIRTH_19_2025-10-22,ALT_BIRTH_19,Target,WhatsApp,181,On date Birthday wish,Birthday ,2025-10-22,2025-10-22,2025-10-22,,,,,1751,899,,,,777,,51.34%,462,51.39%,0,0%,3,14226.0,3,4742,0.33%,3,2.0,389.00,0.00,0,0.00,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,1050.60,,,,,0.0033,350.2,on_birthday_apr_9072
On Birthday_Daily Alert Final,ALT_BIRTH_19,ALT_BIRTH_19_2025-10-23,ALT_BIRTH_19,Target,WhatsApp,181,On date Birthday wish,Birthday ,2025-10-23,2025-10-23,2025-10-23,,,,,1380,787,,,,510,,57.03%,426,54.13%,0,0%,3,42832.00,3,14277.33,0.38%,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828.00,,,,,0.0038,276,on_birthday_apr_9072
On Birthday_Daily Alert Final,ALT_BIRTH_19,ALT_BIRTH_19_2025-10-24,ALT_BIRTH_19,Target,WhatsApp,181,On date Birthday wish,Birthday ,2025-10-24,2025-10-24,2025-10-24,,,,,1487,850,,,,562,,57.16%,475,55.88%,0,0%,1,7369.0,1,7369,0.12%,1,0.0,516.00,0.00,0,0.00,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,892.20,,,,,0.0012,892.2,on_birthday_apr_9072
On Birthday_Daily Alert Final,ALT_BIRTH_19,ALT_BIRTH_19_2025-10-25,ALT_BIRTH_19,Target,WhatsApp,181,On date Birthday wish,Birthday ,2025-10-25,2025-10-25,2025-10-25,,,,,2154,1243,,,,793,,57.71%,688,55.35%,0,0%,3,25729.00,3,8576.33,0.24%,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1292.40,,,,,0.0024,430.8,on_birthday_apr_9072
On Birthday_Daily Alert Final,ALT_BIRTH_19,ALT_BIRTH_19_2025-10-26,ALT_BIRTH_19,Target,WhatsApp,181,On date Birthday wish,Birthday ,2025-10-26,2025-10-26,2025-10-26,,,,,1379,749,,,,555,,54.31%,434,57.94%,0,0%,2,29506.0,2,14753,0.27%,2,5.0,1633.00,0.00,0,0.00,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,827.40,,,,,0.0027,413.7,on_birthday_apr_9072
Bday_D1_Pheonix_April_9055_Final,ALT_BIRTH_38,ALT_BIRTH_38_2025-10-01,ALT_BIRTH_38,Control,WhatsApp,175,Mvc Tier,Birthday ,2025-10-01,2025-10-01,2025-10-31,Department,MVCBirthdayNew,20,BDAY SPECIAL 20 PERCENT OFF,137,0,,,,137,,0%,0,,0,,5,36708.0,5,7341.6,,5,2.6,503.00,1630.00,1,10316.00,1,0,,,,,,,137,0,0.00,0,0,,,,,,,,,,,,,,0.00,,,,Coupon,-0.1073,0,bday_d1_pheonix_april_9055
Bday_D1_Pheonix_April_9055_Final,ALT_BIRTH_38,ALT_BIRTH_38_2025-10-01,ALT_BIRTH_38,Target,WhatsApp,175,Mvc Tier,Birthday ,2025-10-01,2025-10-01,2025-10-31,Department,MVCBirthdayNew,20,BDAY SPECIAL 20 PERCENT OFF,6932,3165,,,,3527,,45.66%,2115,66.82%,0,0%,308,4052574.42,450,9005.72,9.73%,399,2.82,107648.00,109640.00,87,645523.42,90,49,2.7488%,,,,,,6932,49,262420.60,49,49,,,,,,,,,,,192243.3027,1732988.711,1925232.0137,4159.20,43303,462.8852,40.5635,Coupon,-0.0465,13.5,bday_d1_pheonix_april_9055
Offline Feedbackreminder 24 hoursAttempted,ALT_FEEDE_2,ALT_FEEDE_2_2025-10-01,ALT_FEEDE_2,Target,WhatsApp,,,Feedback,2025-10-01,2025-10-01,2025-10-01,,,,,64,58,,,,0,,90.62%,34,58.62%,0,0%,2,10165.31,2,5082.66,3.45%,2,1.5,712.00,0.00,0,0.00,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,38.40,,,,,0.0345,19.2,dr_24whatsapp_updated_01
Offline Feedbackreminder 24 hoursAttempted,ALT_FEEDE_2,ALT_FEEDE_2_2025-10-02,ALT_FEEDE_2,Target,WhatsApp,,,Feedback,2025-10-02,2025-10-02,2025-10-02,,,,,56,52,,,,2,,92.86%,30,57.69%,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.60,,,,,,,dr_24whatsapp_updated_01
Offline Feedbackreminder 24 hoursAttempted,ALT_FEEDE_2,ALT_FEEDE_2_2025-10-03,ALT_FEEDE_2,Target,WhatsApp,,,Feedback,2025-10-03,2025-10-03,2025-10-03,,,,,53,45,,,,4,,84.91%,28,62.22%,0,0%,4,20879.0,4,5219.75,8.89%,4,0.75,885.00,0.00,0,0.00,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,31.80,,,,,0.0889,7.95,dr_24whatsapp_updated_01
Offline Feedbackreminder 24 hoursAttempted,ALT_FEEDE_2,ALT_FEEDE_2_2025-10-04,ALT_FEEDE_2,Target,WhatsApp,,,Feedback,2025-10-04,2025-10-04,2025-10-04,,,,,57,52,,,,2,,91.23%,34,65.38%,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.20,,,,,,,dr_24whatsapp_updated_01
Offline Feedbackreminder 24 hoursAttempted,ALT_FEEDE_2,ALT_FEEDE_2_2025-10-05,ALT_FEEDE_2,Target,WhatsApp,,,Feedback,2025-10-05,2025-10-05,2025-10-05,,,,,51,45,,,,3,,88.24%,26,57.78%,0,0%,1,3303.00,2,1651.5,2.22%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.60,,,,,0.0222,30.6,dr_24whatsapp_updated_01
Offline Feedbackreminder 24 hoursAttempted,ALT_FEEDE_2,ALT_FEEDE_2_2025-10-06,ALT_FEEDE_2,Target,WhatsApp,,,Feedback,2025-10-06,2025-10-06,2025-10-06,,,,,66,57,,,,4,,86.36%,35,61.4%,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.60,,,,,,,dr_24whatsapp_updated_01
Offline Feedbackreminder 24 hoursAttempted,ALT_FEEDE_2,ALT_FEEDE_2_2025-10-07,ALT_FEEDE_2,Target,WhatsApp,,,Feedback,2025-10-07,2025-10-07,2025-10-07,,,,,43,38,,,,3,,88.37%,22,57.89%,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.80,,,,,,,dr_24whatsapp_updated_01
Offline Feedbackreminder 24 hoursAttempted,ALT_FEEDE_2,ALT_FEEDE_2_2025-10-08,ALT_FEEDE_2,Target,WhatsApp,,,Feedback,2025-10-08,2025-10-08,2025-10-08,,,,,41,37,,,,1,,90.24%,21,56.76%,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.60,,,,,,,dr_24whatsapp_updated_01
Offline Feedbackreminder 24 hoursAttempted,ALT_FEEDE_2,ALT_FEEDE_2_2025-10-09,ALT_FEEDE_2,Target,WhatsApp,,,Feedback,2025-10-09,2025-10-09,2025-10-09,,,,,43,38,,,,2,,88.37%,21,55.26%,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.80,,,,,,,dr_24whatsapp_updated_01
Offline Feedbackreminder 24 hoursAttempted,ALT_FEEDE_2,ALT_FEEDE_2_2025-10-10,ALT_FEEDE_2,Target,WhatsApp,,,Feedback,2025-10-10,2025-10-10,2025-10-10,,,,,50,46,,,,2,,92%,35,76.09%,0,0%,3,11891.0,4,2972.75,6.52%,3,1.25,225.00,0.00,0,0.00,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,30.00,,,,,0.0652,10,dr_24whatsapp_updated_01
Offline Feedbackreminder 24 hoursAttempted,ALT_FEEDE_2,ALT_FEEDE_2_2025-10-11,ALT_FEEDE_2,Target,WhatsApp,,,Feedback,2025-10-11,2025-10-11,2025-10-11,,,,,41,33,,,,4,,80.49%,21,63.64%,0,0%,2,9312.0,2,4656,6.06%,2,2.0,295.00,0.00,0,0.00,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,24.60,,,,,0.0606,12.3,dr_24whatsapp_updated_01
Offline Feedbackreminder 24 hoursAttempted,ALT_FEEDE_2,ALT_FEEDE_2_2025-10-12,ALT_FEEDE_2,Target,WhatsApp,,,Feedback,2025-10-12,2025-10-12,2025-10-12,,,,,46,44,,,,1,,95.65%,23,52.27%,0,0%,1,1685.00,1,1685,2.27%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.60,,,,,0.0227,27.6,dr_24whatsapp_updated_01
Offline Feedbackreminder 24 hoursAttempted,ALT_FEEDE_2,ALT_FEEDE_2_2025-10-13,ALT_FEEDE_2,Target,WhatsApp,,,Feedback,2025-10-13,2025-10-13,2025-10-13,,,,,52,47,,,,4,,90.38%,33,70.21%,0,0%,1,2249.0,1,2249,2.13%,1,1.0,157.00,0.00,0,0.00,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,31.20,,,,,0.0213,31.2,dr_24whatsapp_updated_01
Offline Feedbackreminder 24 hoursAttempted,ALT_FEEDE_2,ALT_FEEDE_2_2025-10-14,ALT_FEEDE_2,Target,WhatsApp,,,Feedback,2025-10-14,2025-10-14,2025-10-14,,,,,27,24,,,,1,,88.89%,17,70.83%,0,0%,2,4868.0,2,2434,8.33%,2,1.0,274.00,944.00,1,2249.00,1,1,4.1667%,,,,,,,,,,,,,,,,,,,,,,,,16.20,,,,,0.0833,8.1,dr_24whatsapp_updated_01
Offline Feedbackreminder 24 hoursAttempted,ALT_FEEDE_2,ALT_FEEDE_2_2025-10-15,ALT_FEEDE_2,Target,WhatsApp,,,Feedback,2025-10-15,2025-10-15,2025-10-15,,,,,43,35,,,,4,,81.4%,21,60%,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.80,,,,,,,dr_24whatsapp_updated_01
Offline Feedbackreminder 24 hoursAttempted,ALT_FEEDE_2,ALT_FEEDE_2_2025-10-16,ALT_FEEDE_2,Target,WhatsApp,,,Feedback,2025-10-16,2025-10-16,2025-10-16,,,,,46,42,,,,2,,91.3%,30,71.43%,0,0%,2,2286.00,4,571.5,4.76%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.60,,,,,0.0476,13.8,dr_24whatsapp_updated_01
Offline Feedbackreminder 24 hoursAttempted,ALT_FEEDE_2,ALT_FEEDE_2_2025-10-17,ALT_FEEDE_2,Target,WhatsApp,,,Feedback,2025-10-17,2025-10-17,2025-10-17,,,,,16,14,,,,1,,87.5%,11,78.57%,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.60,,,,,,,dr_24whatsapp_updated_01
Offline Feedbackreminder 24 hoursAttempted,ALT_FEEDE_2,ALT_FEEDE_2_2025-10-18,ALT_FEEDE_2,Target,WhatsApp,,,Feedback,2025-10-18,2025-10-18,2025-10-18,,,,,52,47,,,,4,,90.38%,36,76.6%,0,0%,1,6844.0,2,3422,2.13%,1,1.0,479.00,0.00,0,0.00,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,31.20,,,,,0.0213,31.2,dr_24whatsapp_updated_01
Offline Feedbackreminder 24 hoursAttempted,ALT_FEEDE_2,ALT_FEEDE_2_2025-10-19,ALT_FEEDE_2,Target,WhatsApp,,,Feedback,2025-10-19,2025-10-19,2025-10-19,,,,,51,46,,,,4,,90.2%,31,67.39%,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.60,,,,,,,dr_24whatsapp_updated_01
Offline Feedbackreminder 24 hoursAttempted,ALT_FEEDE_2,ALT_FEEDE_2_2025-10-20,ALT_FEEDE_2,Target,WhatsApp,,,Feedback,2025-10-20,2025-10-20,2025-10-20,,,,,85,75,,,,5,,88.24%,50,66.67%,0,0%,2,2435.68,3,811.89,2.67%,2,0.33,170.00,0.00,0,0.00,0,0,0%,,,,,,,,,,,,,,,,,,,,,,,,51.00,,,,,0.0267,25.5,dr_24whatsapp_updated_01
Offline Feedbackreminder 24 hoursAttempted,ALT_FEEDE_2,ALT_FEEDE_2_2025-10-21,ALT_FEEDE_2,Target,WhatsApp,,,Feedback,2025-10-21,2025-10-21,2025-10-21,,,,,32,30,,,,1,,93.75%,17,56.67%,0,0%,1,0.00,2,0,3.33%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.20,,,,,0.0333,19.2,dr_24whatsapp_updated_01
Offline Feedbackreminder 24 hoursAttempted,ALT_FEEDE_2,ALT_FEEDE_2_2025-10-22,ALT_FEEDE_2,Target,WhatsApp,,,Feedback,2025-10-22,2025-10-22,2025-10-22,,,,,57,47,,,,5,,82.46%,32,68.09%,0,0%,2,36000.00,3,12000,4.26%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.20,,,,,0.0426,17.1,dr_24whatsapp_updated_01
Offline Feedbackreminder 24 hoursAttempted,ALT_FEEDE_2,ALT_FEEDE_2_2025-10-23,ALT_FEEDE_2,Target,WhatsApp,,,Feedback,2025-10-23,2025-10-23,2025-10-23,,,,,59,54,,,,2,,91.53%,34,62.96%,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.40,,,,,,,dr_24whatsapp_updated_01
Offline Feedbackreminder 24 hoursAttempted,ALT_FEEDE_2,ALT_FEEDE_2_2025-10-24,ALT_FEEDE_2,Target,WhatsApp,,,Feedback,2025-10-24,2025-10-24,2025-10-24,,,,,59,52,,,,3,,88.14%,30,57.69%,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.40,,,,,,,dr_24whatsapp_updated_01
Offline Feedbackreminder 24 hoursAttempted,ALT_FEEDE_2,ALT_FEEDE_2_2025-10-25,ALT_FEEDE_2,Target,WhatsApp,,,Feedback,2025-10-25,2025-10-25,2025-10-25,,,,,41,38,,,,1,,92.68%,20,52.63%,0,0%,1,-4878.03,1,-4878.03,2.63%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.60,,,,,0.0263,24.6,dr_24whatsapp_updated_01
Offline Feedbackreminder 24 hoursAttempted,ALT_FEEDE_2,ALT_FEEDE_2_2025-10-26,ALT_FEEDE_2,Target,WhatsApp,,,Feedback,2025-10-26,2025-10-26,2025-10-26,,,,,80,70,,,,6,,87.5%,34,48.57%,0,0%,1,14257.00,1,14257,1.43%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.00,,,,,0.0143,48,dr_24whatsapp_updated_01
Offline Feedbackreminder 24 hours Issued,ALT_FEEDE_3,ALT_FEEDE_3_2025-10-01,ALT_FEEDE_3,Target,WhatsApp,,,Feedback,2025-10-01,2025-10-01,2025-10-01,,,,,1918,1763,,,,94,,91.92%,1008,57.18%,0,0%,43,616441.47,140,4403.15,2.44%,43,1.56,19973.00,7119.00,4,17136.00,5,4,0.2269%,,,,,,,,,,,,,,,,,,,,,,,,1150.80,,,,,0.0244,26.76,dr_24whatsapp_updated_01
Offline Feedbackreminder 24 hours Issued,ALT_FEEDE_3,ALT_FEEDE_3_2025-10-02,ALT_FEEDE_3,Target,WhatsApp,,,Feedback,2025-10-02,2025-10-02,2025-10-02,,,,,1975,1791,,,,101,,90.68%,931,51.98%,0,0%,43,230407.98,63,3657.27,2.4%,43,1.19,4421.00,5000.00,1,7427.00,2,1,0.0558%,,,,,,,,,,,,,,,,,,,,,,,,1185.00,,,,,0.024,27.56,dr_24whatsapp_updated_01
Offline Feedbackreminder 24 hours Issued,ALT_FEEDE_3,ALT_FEEDE_3_2025-10-03,ALT_FEEDE_3,Target,WhatsApp,,,Feedback,2025-10-03,2025-10-03,2025-10-03,,,,,2167,1993,,,,93,,91.97%,1140,57.2%,0,0%,33,508509.0,105,4842.94,1.66%,33,2.27,20202.00,2437.00,2,9033.00,2,2,0.1004%,,,,,,,,,,,,,,,,,,,,,,,,1300.20,,,,,0.0166,39.4,dr_24whatsapp_updated_01
